event_1,event_2,event_3,event_4,event_5,time
0.005235151836508286,0.027958133684152463,0.033689680998721445,0.014525669656840682,0.03757410459144479,1.4825883922615078e-05
0.005234933416085317,0.02795698810992121,0.03368819949612209,0.014524839579150918,0.037572520942555254,1.48418945963976e-05
0.005234715004404457,0.027955842581532574,0.03368671805280444,0.014524009534680495,0.03757093735703354,1.4857905270180121e-05
0.005234496601465353,0.027954697098984717,0.03368523666876616,0.01452317952342809,0.03756935383487711,1.4873915943962644e-05
0.005234278207267653,0.02795355166227581,0.033683755344004834,0.01452234954539236,0.03756777037608344,1.4889926617745164e-05
0.005234059821811014,0.027952406271404023,0.03368227407851812,0.014521519600571985,0.037566186980649986,1.4905937291527687e-05
0.005233841445095082,0.027951260926367513,0.03368079287230365,0.014520689688965638,0.03756460364857423,1.4921947965310208e-05
0.005233623077119506,0.027950115627164443,0.03367931172535902,0.014519859810571986,0.037563020379853616,1.493795863909273e-05
0.005233404717883939,0.027948970373792997,0.03367783063768188,0.014519029965389696,0.03756143717448562,1.4953969312875251e-05
0.005233186367388029,0.027947825166251328,0.033676349609269865,0.014518200153417453,0.037559854032467706,1.4969979986657773e-05
0.005232968025631426,0.027946680004537598,0.03367486864012059,0.014517370374653912,0.037558270953797344,1.4985990660440294e-05
0.005232749692613786,0.02794553488864998,0.03367338773023171,0.014516540629097756,0.03755668793847199,1.5002001334222817e-05
0.005232531368334749,0.02794438981858665,0.033671906879600824,0.014515710916747646,0.03755510498648913,1.5018012008005338e-05
0.005232313052793973,0.027943244794345755,0.033670426088225576,0.014514881237602261,0.0375535220978462,1.503402268178786e-05
0.005232094745991109,0.027942099815925478,0.0336689453561036,0.014514051591660271,0.0375519392725407,1.5050033355570381e-05
0.0052318764479258005,0.027940954883323973,0.03366746468323251,0.014513221978920346,0.03755035651057006,1.5066044029352903e-05
0.0052316581585977046,0.027939809996539416,0.03366598406960994,0.014512392399381159,0.037548773811931786,1.5082054703135424e-05
0.005231439878006466,0.027938665155569975,0.03366450351523354,0.014511562853041378,0.03754719117662331,1.5098065376917947e-05
0.00523122160615174,0.02793752036041381,0.03366302302010092,0.014510733339899676,0.037545608604642115,1.5114076050700467e-05
0.0052310033430331745,0.027936375611069094,0.03366154258420971,0.01450990385995473,0.03754402609598567,1.513008672448299e-05
0.005230785088650419,0.02793523090753399,0.03366006220755754,0.014509074413205208,0.03754244365065144,1.514609739826551e-05
0.0052305668430031255,0.02793408624980668,0.033658581890142064,0.014508244999649783,0.03754086126863689,1.5162108072048033e-05
0.005230348606090944,0.027932941637885306,0.03365710163196089,0.014507415619287123,0.03753927894993948,1.5178118745830556e-05
0.005230130377913524,0.027931797071768048,0.03365562143301164,0.014506586272115896,0.03753769669455668,1.5194129419613077e-05
0.005229912158470518,0.027930652551453078,0.033654141293291966,0.014505756958134788,0.03753611450248598,1.5210140093395599e-05
0.005229693947761574,0.027929508076938555,0.033652661212799494,0.014504927677342459,0.03753453237372482,1.522615076717812e-05
0.005229475745786344,0.027928363648222654,0.033651181191531834,0.014504098429737582,0.037532950308270675,1.5242161440960642e-05
0.005229257552544478,0.027927219265303536,0.03364970122948664,0.014503269215318838,0.03753136830612101,1.5258172114743163e-05
0.005229039368035626,0.027926074928179365,0.03364822132666154,0.01450244003408489,0.0375297863672733,1.5274182788525686e-05
0.005228821192259439,0.02792493063684833,0.03364674148305415,0.014501610886034409,0.037528204491725024,1.5290193462308206e-05
0.005228603025215567,0.027923786391308582,0.03364526169866212,0.014500781771166078,0.03752662267947361,1.5306204136090727e-05
0.005228384866903661,0.027922642191558277,0.03364378197348306,0.014499952689478563,0.03752504093051657,1.532221480987325e-05
0.005228166717323373,0.02792149803759561,0.033642302307514624,0.014499123640970531,0.03752345924485135,1.5338225483655772e-05
0.00522794857647435,0.02792035392941874,0.03364082270075444,0.01449829462564066,0.03752187762247542,1.5354236157438293e-05
0.005227730444356247,0.027919209867025823,0.033639343153200135,0.014497465643487629,0.03752029606338624,1.5370246831220814e-05
0.00522751232096871,0.027918065850415032,0.03363786366484933,0.014496636694510096,0.0375187145675813,1.5386257505003338e-05
0.005227294206311395,0.027916921879584555,0.033636384235699666,0.01449580777870674,0.037517133135058056,1.540226817878586e-05
0.005227076100383946,0.027915777954532536,0.03363490486574878,0.014494978896076236,0.037515551765813976,1.541827885256838e-05
0.005226858003186017,0.027914634075257145,0.03363342555499429,0.014494150046617258,0.03751397045984654,1.54342895263509e-05
0.0052266399147172585,0.02791349024175657,0.03363194630343383,0.014493321230328472,0.037512389217153205,1.5450300200133425e-05
0.005226421834977322,0.027912346454028954,0.03363046711106505,0.014492492447208558,0.037510808037731436,1.5466310873915945e-05
0.005226203763965858,0.027911202712072494,0.03362898797788557,0.014491663697256183,0.0375092269215787,1.5482321547698466e-05
0.005225985701682516,0.027910059015885336,0.033627508903893,0.014490834980470024,0.037507645868692485,1.5498332221480987e-05
0.005225767648126945,0.027908915365465654,0.03362602988908502,0.014490006296848754,0.03750606487907024,1.551434289526351e-05
0.0052255496032988,0.027907771760811627,0.03362455093345924,0.01448917764639104,0.03750448395270946,1.5530353569046032e-05
0.0052253315671977295,0.02790662820192141,0.03362307203701327,0.014488349029095553,0.03750290308960759,1.5546364242828553e-05
0.005225113539823384,0.027905484688793177,0.033621593199744775,0.014487520444960985,0.03750132228976211,1.5562374916611074e-05
0.005224895521175415,0.027904341221425103,0.03362011442165137,0.014486691893985984,0.03749974155317047,1.5578385590393598e-05
0.005224677511253473,0.027903197799815354,0.033618635702730694,0.014485863376169245,0.03749816087983018,1.559439626417612e-05
0.005224459510057208,0.027902054423962104,0.03361715704298039,0.014485034891509428,0.03749658026973867,1.561040693795864e-05
0.005224241517586271,0.0279009110938635,0.03361567844239806,0.014484206440005209,0.03749499972289344,1.5626417611741164e-05
0.005224023533840313,0.027899767809517736,0.03361419990098136,0.014483378021655263,0.037493419239291954,1.5642428285523684e-05
0.005223805558818986,0.02789862457092298,0.033612721418727926,0.014482549636458262,0.037491838818931665,1.5658438959306205e-05
0.005223587592521937,0.02789748137807738,0.03361124299563538,0.01448172128441288,0.037490258461810054,1.5674449633088726e-05
0.00522336963494882,0.027896338230979142,0.033609764631701365,0.014480892965517795,0.03748867816792459,1.569046030687125e-05
0.005223151686099287,0.027895195129626408,0.03360828632692352,0.014480064679771672,0.03748709793727275,1.570647098065377e-05
0.005222933745972988,0.027894052074017347,0.03360680808129944,0.014479236427173187,0.03748551776985199,1.5722481654436292e-05
0.005222715814569571,0.027892909064150137,0.03360532989482681,0.01447840820772102,0.03748393766565979,1.5738492328218813e-05
0.00522249789188869,0.027891766100022954,0.03360385176750323,0.01447758002141384,0.037482357624693624,1.5754503002001337e-05
0.005222279977929995,0.02789062318163395,0.03360237369932636,0.014476751868250318,0.03748077764695095,1.5770513675783858e-05
0.005222062072693137,0.027889480308981317,0.03360089569029381,0.014475923748229133,0.03747919773242927,1.578652434956638e-05
0.005221844176177767,0.02788833748206321,0.033599417740403224,0.014475095661348957,0.037477617881126,1.58025350233489e-05
0.005221626288383533,0.0278871947008778,0.03359793984965223,0.014474267607608459,0.03747603809303866,1.5818545697131423e-05
0.005221408409310093,0.02788605196542327,0.033596462018038474,0.014473439587006325,0.03747445836816472,1.5834556370913944e-05
0.005221190538957091,0.027884909275697766,0.033594984245559574,0.014472611599541217,0.037472878706501615,1.5850567044696465e-05
0.005220972677324181,0.027883766631699496,0.03359350653221318,0.014471783645211811,0.037471299108046856,1.5866577718478986e-05
0.005220754824411012,0.027882624033426586,0.03359202887799692,0.014470955724016786,0.03746971957279789,1.588258839226151e-05
0.005220536980217239,0.027881481480877247,0.03359055128290842,0.014470127835954815,0.037468140100752195,1.589859906604403e-05
0.00522031914474251,0.02788033897404962,0.033589073746945336,0.014469299981024569,0.037466560691907236,1.591460973982655e-05
0.005220101317986478,0.027879196512941892,0.033587596270105276,0.01446847215922473,0.037464981346260494,1.5930620413609072e-05
